k,accuracy,f1_0,f1_1
1,0.8595800524934383,0.834108527131783,0.8782707622298066
1,0.8674540682414699,0.8481203007518797,0.8824214202561118
1,0.8661417322834646,0.8391167192429022,0.8853932584269663
1,0.8910761154855643,0.8672,0.9076751946607341
1,0.8530183727034121,0.8308157099697885,0.8700696055684455
2,0.8595800524934383,0.834108527131783,0.8782707622298066
2,0.8674540682414699,0.8481203007518797,0.8824214202561118
2,0.8661417322834646,0.8391167192429022,0.8853932584269663
2,0.8910761154855643,0.8672,0.9076751946607341
2,0.8530183727034121,0.8308157099697885,0.8700696055684455
3,0.8910761154855643,0.8680445151033387,0.9072625698324023
3,0.89501312335958,0.8780487804878049,0.9078341013824884
3,0.8818897637795275,0.8575949367088608,0.899103139013453
3,0.9068241469816273,0.8856682769726248,0.9213732004429679
3,0.8595800524934383,0.8361408882082695,0.8771526980482205
4,0.8858267716535433,0.8625592417061612,0.9023569023569024
4,0.9015748031496063,0.885145482388974,0.9138920780711826
4,0.8753280839895013,0.8499210110584519,0.8933782267115601
4,0.9068241469816273,0.8856682769726248,0.9213732004429679
4,0.8674540682414699,0.8458015267175573,0.8837744533947065
5,0.884514435695538,0.8603174603174604,0.901565995525727
5,0.9081364829396326,0.8919753086419753,0.9200913242009132
5,0.8740157480314961,0.8466453674121406,0.8930957683741648
5,0.8923884514435696,0.8681672025723473,0.9090909090909091
5,0.8661417322834646,0.843558282208589,0.8830275229357798
6,0.8832020997375328,0.8593996840442338,0.9001122334455668
6,0.9041994750656168,0.8878648233486943,0.9163802978235968
6,0.884514435695538,0.8589743589743589,0.9022222222222223
6,0.9002624671916011,0.8778135048231511,0.9157427937915743
6,0.863517060367454,0.8395061728395061,0.8812785388127854
7,0.8779527559055118,0.8521462639109698,0.8960893854748604
7,0.89501312335958,0.8765432098765432,0.908675799086758
7,0.8858267716535433,0.8580750407830342,0.9045005488474204
7,0.889763779527559,0.8640776699029126,0.9072847682119205
7,0.8608923884514436,0.8364197530864198,0.8789954337899544
8,0.8792650918635171,0.8535031847133758,0.8973214285714286
8,0.9002624671916011,0.8827160493827161,0.91324200913242
8,0.8818897637795275,0.8534201954397395,0.9010989010989011
8,0.8923884514435696,0.8664495114006515,0.9098901098901099
8,0.863517060367454,0.8390092879256966,0.8815489749430524
9,0.8792650918635171,0.8535031847133758,0.8973214285714286
9,0.8910761154855643,0.8721109399075501,0.9051428571428571
9,0.8884514435695539,0.8608837970540099,0.9069003285870756
9,0.8805774278215223,0.851063829787234,0.9003285870755751
9,0.8569553805774278,0.8304821150855366,0.8762769580022701
10,0.8805774278215223,0.8553259141494436,0.8983240223463688
10,0.8976377952755905,0.8792569659442725,0.9111617312072893
10,0.884514435695538,0.8576051779935275,0.9028697571743929
10,0.8818897637795275,0.8524590163934426,0.9015317286652079
10,0.8648293963254593,0.8408037094281299,0.8825541619156214
11,0.8753280839895013,0.8484848484848485,0.8940914158305463
11,0.8937007874015748,0.8744186046511628,0.9078498293515358
11,0.8832020997375328,0.8552845528455284,0.9020902090209021
11,0.8753280839895013,0.8440065681444991,0.8961748633879781
11,0.8661417322834646,0.840625,0.8846153846153846
12,0.8766404199475065,0.8493589743589743,0.8955555555555555
12,0.89501312335958,0.8757763975155279,0.9090909090909091
12,0.8818897637795275,0.8538961038961039,0.9008810572687225
12,0.884514435695538,0.8562091503267973,0.9035087719298246
12,0.8700787401574803,0.8450704225352113,0.888135593220339
13,0.8740157480314961,0.8466453674121406,0.8930957683741648
13,0.8923884514435696,0.8742331288343558,0.9059633027522935
13,0.8832020997375328,0.8543371522094927,0.9025191675794085
13,0.8792650918635171,0.8491803278688524,0.899343544857768
13,0.8648293963254593,0.8398133748055988,0.8830874006810443
14,0.8779527559055118,0.8516746411483254,0.8963210702341137
14,0.8963254593175853,0.8778979907264297,0.9099201824401368
14,0.8871391076115486,0.8594771241830066,0.9057017543859649
14,0.8832020997375328,0.8538587848932676,0.9027322404371585
14,0.8713910761154856,0.8478260869565217,0.8886363636363637
15,0.8753280839895013,0.848966613672496,0.8938547486033519
15,0.8923884514435696,0.8738461538461538,0.9061784897025171
15,0.8818897637795275,0.8519736842105263,0.9017467248908297
15,0.8779527559055118,0.845771144278607,0.8990228013029316
15,0.8661417322834646,0.8416149068322981,0.884090909090909
16,0.8779527559055118,0.8512,0.896551724137931
16,0.8989501312335958,0.8806201550387597,0.9124004550625711
16,0.8858267716535433,0.856198347107438,0.9053318824809575
16,0.8805774278215223,0.8495867768595041,0.9009793253536452
16,0.8674540682414699,0.8429237947122862,0.8853575482406356
17,0.8805774278215223,0.8548644338118022,0.8985507246376812
17,0.8976377952755905,0.8788819875776398,0.9113636363636364
17,0.8832020997375328,0.8524046434494196,0.9033659066232356
17,0.8740157480314961,0.84,0.8961038961038961
17,0.8661417322834646,0.8416149068322981,0.884090909090909
18,0.8779527559055118,0.8507223113964687,0.8967813540510544
18,0.8989501312335958,0.8806201550387597,0.9124004550625711
18,0.8832020997375328,0.8543371522094927,0.9025191675794085
18,0.8792650918635171,0.8471760797342193,0.9002169197396963
18,0.8674540682414699,0.8434108527131783,0.8850967007963595
19,0.8766404199475065,0.8503184713375797,0.8950892857142857
19,0.8989501312335958,0.880248833592535,0.9125993189557321
19,0.8792650918635171,0.8471760797342193,0.9002169197396963
19,0.8753280839895013,0.8429752066115702,0.8966267682263329
19,0.8648293963254593,0.8408037094281299,0.8825541619156214
20,0.8805774278215223,0.8544,0.8987764182424917
20,0.8963254593175853,0.8775193798449612,0.9101251422070534
20,0.8832020997375328,0.8528925619834711,0.9031556039173014
20,0.8805774278215223,0.8495867768595041,0.9009793253536452
20,0.8674540682414699,0.8424336973478939,0.8856172140430351
21,0.8779527559055118,0.8512,0.896551724137931
21,0.8989501312335958,0.8809891808346213,0.9122006841505131
21,0.8832020997375328,0.8519134775374376,0.9035752979414952
21,0.8779527559055118,0.845771144278607,0.8990228013029316
21,0.868766404199475,0.8452012383900929,0.8861047835990888
22,0.8779527559055118,0.8512,0.896551724137931
22,0.8976377952755905,0.8792569659442725,0.9111617312072893
22,0.8805774278215223,0.8495867768595041,0.9009793253536452
22,0.8792650918635171,0.847682119205298,0.9
22,0.868766404199475,0.84472049689441,0.8863636363636364
23,0.8766404199475065,0.8493589743589743,0.8955555555555555
23,0.8976377952755905,0.8792569659442725,0.9111617312072893
23,0.8832020997375328,0.8519134775374376,0.9035752979414952
23,0.8766404199475065,0.8438538205980066,0.8980477223427332
23,0.8622047244094488,0.8377125193199382,0.8802736602052451
24,0.8792650918635171,0.853035143769968,0.8975501113585747
24,0.8976377952755905,0.8792569659442725,0.9111617312072893
24,0.8805774278215223,0.848585690515807,0.9014084507042254
24,0.8818897637795275,0.8514851485148515,0.9019607843137255
24,0.8648293963254593,0.8408037094281299,0.8825541619156214
25,0.8779527559055118,0.8512,0.896551724137931
25,0.8963254593175853,0.8778979907264297,0.9099201824401368
25,0.8792650918635171,0.8466666666666667,0.9004329004329005
25,0.8779527559055118,0.845771144278607,0.8990228013029316
25,0.8648293963254593,0.8398133748055988,0.8830874006810443
26,0.8766404199475065,0.8493589743589743,0.8955555555555555
26,0.89501312335958,0.8769230769230769,0.9084668192219679
26,0.884514435695538,0.8528428093645485,0.9049676025917927
26,0.884514435695538,0.8543046357615894,0.9043478260869565
26,0.8713910761154856,0.8473520249221184,0.8888888888888888
27,0.8740157480314961,0.8466453674121406,0.8930957683741648
27,0.8963254593175853,0.8778979907264297,0.9099201824401368
27,0.8832020997375328,0.8514190317195326,0.9037837837837838
27,0.8753280839895013,0.8419301164725458,0.8970747562296858
27,0.868766404199475,0.8442367601246106,0.8866213151927438
28,0.8766404199475065,0.8488745980707395,0.8957871396895787
28,0.8963254593175853,0.8778979907264297,0.9099201824401368
28,0.8818897637795275,0.8494983277591973,0.9028077753779697
28,0.8792650918635171,0.8471760797342193,0.9002169197396963
28,0.8661417322834646,0.840625,0.8846153846153846
29,0.8766404199475065,0.8488745980707395,0.8957871396895787
29,0.8989501312335958,0.8806201550387597,0.9124004550625711
29,0.8832020997375328,0.8514190317195326,0.9037837837837838
29,0.8779527559055118,0.8447412353923205,0.8994594594594595
29,0.8661417322834646,0.8411214953271028,0.8843537414965986
30,0.8779527559055118,0.8507223113964687,0.8967813540510544
30,0.8989501312335958,0.8806201550387597,0.9124004550625711
30,0.8858267716535433,0.8547579298831386,0.9059459459459459
30,0.8832020997375328,0.8524046434494196,0.9033659066232356
30,0.8674540682414699,0.8424336973478939,0.8856172140430351
31,0.8779527559055118,0.8502415458937198,0.8970099667774086
31,0.8963254593175853,0.8778979907264297,0.9099201824401368
31,0.8858267716535433,0.8547579298831386,0.9059459459459459
31,0.8766404199475065,0.8433333333333334,0.8982683982683982
31,0.8648293963254593,0.8393135725429017,0.883352208380521
32,0.8779527559055118,0.8502415458937198,0.8970099667774086
32,0.8976377952755905,0.8792569659442725,0.9111617312072893
32,0.8858267716535433,0.8547579298831386,0.9059459459459459
32,0.8818897637795275,0.8504983388704319,0.9023861171366594
32,0.8661417322834646,0.8416149068322981,0.884090909090909
33,0.8779527559055118,0.8502415458937198,0.8970099667774086
33,0.9015748031496063,0.8833592534992224,0.9148694665153235
33,0.8832020997375328,0.8514190317195326,0.9037837837837838
33,0.8779527559055118,0.8447412353923205,0.8994594594594595
33,0.8648293963254593,0.8393135725429017,0.883352208380521
34,0.8818897637795275,0.8553054662379421,0.9002217294900222
34,0.9002624671916011,0.8819875776397516,0.9136363636363637
34,0.8832020997375328,0.8514190317195326,0.9037837837837838
34,0.8805774278215223,0.848585690515807,0.9014084507042254
34,0.868766404199475,0.84472049689441,0.8863636363636364
35,0.8779527559055118,0.8502415458937198,0.8970099667774086
35,0.9028871391076115,0.8847352024922118,0.9160997732426304
35,0.8832020997375328,0.8514190317195326,0.9037837837837838
35,0.8766404199475065,0.842809364548495,0.8984881209503239
35,0.863517060367454,0.8385093167701864,0.8818181818181818
36,0.8792650918635171,0.8516129032258064,0.8982300884955752
36,0.9002624671916011,0.8819875776397516,0.9136363636363637
36,0.884514435695538,0.8533333333333334,0.9047619047619048
36,0.8766404199475065,0.8433333333333334,0.8982683982683982
36,0.8648293963254593,0.8398133748055988,0.8830874006810443
37,0.8792650918635171,0.8516129032258064,0.8982300884955752
37,0.8976377952755905,0.8785046728971962,0.9115646258503401
37,0.8832020997375328,0.8514190317195326,0.9037837837837838
37,0.8740157480314961,0.8394648829431438,0.896328293736501
37,0.863517060367454,0.8390092879256966,0.8815489749430524
38,0.884514435695538,0.8585209003215434,0.9024390243902439
38,0.9002624671916011,0.8819875776397516,0.9136363636363637
38,0.8871391076115486,0.8571428571428571,0.9067245119305857
38,0.8740157480314961,0.84,0.8961038961038961
38,0.863517060367454,0.8385093167701864,0.8818181818181818
39,0.8805774278215223,0.8539325842696629,0.8990011098779135
39,0.8989501312335958,0.880248833592535,0.9125993189557321
39,0.8832020997375328,0.8514190317195326,0.9037837837837838
39,0.8727034120734908,0.8380634390651085,0.8951351351351351
39,0.8608923884514436,0.8354037267080745,0.8795454545454545
40,0.8832020997375328,0.8571428571428571,0.9012208657047724
40,0.8976377952755905,0.8785046728971962,0.9115646258503401
40,0.8871391076115486,0.8566666666666667,0.9069264069264069
40,0.8753280839895013,0.8419301164725458,0.8970747562296858
40,0.8595800524934383,0.833592534992224,0.8785471055618616
41,0.8766404199475065,0.8488745980707395,0.8957871396895787
41,0.8976377952755905,0.8788819875776398,0.9113636363636364
41,0.8832020997375328,0.8514190317195326,0.9037837837837838
41,0.8740157480314961,0.84,0.8961038961038961
41,0.8595800524934383,0.834108527131783,0.8782707622298066
42,0.8805774278215223,0.8529886914378029,0.8994475138121547
42,0.8976377952755905,0.8788819875776398,0.9113636363636364
42,0.884514435695538,0.8533333333333334,0.9047619047619048
42,0.8753280839895013,0.8414023372287145,0.8972972972972973
42,0.8595800524934383,0.833592534992224,0.8785471055618616
43,0.8766404199475065,0.8483870967741935,0.8960176991150443
43,0.8976377952755905,0.8785046728971962,0.9115646258503401
43,0.8805774278215223,0.8480801335559266,0.9016216216216216
43,0.8740157480314961,0.8394648829431438,0.896328293736501
43,0.8595800524934383,0.833592534992224,0.8785471055618616
44,0.8779527559055118,0.8497576736672051,0.8972375690607735
44,0.8976377952755905,0.8785046728971962,0.9115646258503401
44,0.884514435695538,0.8533333333333334,0.9047619047619048
44,0.8740157480314961,0.8394648829431438,0.896328293736501
44,0.8608923884514436,0.8354037267080745,0.8795454545454545
45,0.8792650918635171,0.8516129032258064,0.8982300884955752
45,0.8976377952755905,0.8785046728971962,0.9115646258503401
45,0.8818897637795275,0.85,0.9025974025974026
45,0.8727034120734908,0.8375209380234506,0.895361380798274
45,0.863517060367454,0.8385093167701864,0.8818181818181818
46,0.8805774278215223,0.8534621578099839,0.8992248062015504
46,0.8989501312335958,0.880248833592535,0.9125993189557321
46,0.8832020997375328,0.8514190317195326,0.9037837837837838
46,0.8753280839895013,0.8414023372287145,0.8972972972972973
46,0.863517060367454,0.838006230529595,0.8820861678004536
47,0.8818897637795275,0.8548387096774194,0.9004424778761062
47,0.8976377952755905,0.8785046728971962,0.9115646258503401
47,0.8832020997375328,0.8514190317195326,0.9037837837837838
47,0.8740157480314961,0.8394648829431438,0.896328293736501
47,0.8622047244094488,0.8361934477379095,0.8810872027180068
48,0.8818897637795275,0.8543689320388349,0.9006622516556292
48,0.8963254593175853,0.8771384136858476,0.9103291713961408
48,0.8832020997375328,0.8514190317195326,0.9037837837837838
48,0.8740157480314961,0.8394648829431438,0.896328293736501
48,0.8608923884514436,0.8354037267080745,0.8795454545454545
49,0.8779527559055118,0.8497576736672051,0.8972375690607735
49,0.89501312335958,0.8757763975155279,0.9090909090909091
49,0.8818897637795275,0.8494983277591973,0.9028077753779697
49,0.8713910761154856,0.8366666666666667,0.8939393939393939
49,0.8595800524934383,0.833592534992224,0.8785471055618616
50,0.8792650918635171,0.8511326860841424,0.8984547461368654
50,0.8976377952755905,0.8788819875776398,0.9113636363636364
50,0.8832020997375328,0.8514190317195326,0.9037837837837838
